year,Captain Marvel,Dumbo,Shazam,Pokemon,John Wick,Aladdin,Godzilla,Secret Life of Pets 2,Toy Story 4
2019-08-24,,,,,13098,27369,8259,52025,331284
2019-08-25,,,,,18348,54446,15211,88990,531815
2019-08-26,,,,,29870,91867,10796,60385,367737
2019-08-27,,,,,20724,58233,3106,24795,141526
2019-08-28,,,,,7540,23962,5687,31030,203252
2019-08-29,,,,,8606,35309,5107,28625,148246
2019-08-30,,,,,8124,23151,4947,25530,118783
2019-08-31,,,,,7602,23584,,55580,475880
2019-09-01,,,,,20534,109702,,110360,915745
2019-09-02,,,,,32744,174046,,109645,991205
2019-09-03,,,,,30099,166474,,98785,1087805
2019-09-04,,,,,18848,83134,,,
2019-09-05,,,,,,,,20125,216192
2019-09-06,,,,,8319,14702,,15780,138891
2019-09-07,,,,,5990,12563,,13895,91652
2019-09-08,,,,,5971,10713,,22130,99621
2019-09-09,,,,,12558,60524,,71025,266996
2019-09-10,,,,,24177,120397,,35675,180866
2019-09-11,,,,,16013,79402,,6800,32076
2019-09-12,,,,,2940,17364,,8270,44368
2019-09-13,,,,,3605,21429,,7840,34901
2019-09-14,,,,,3381,16569,,7205,34162
2019-09-15,,,,,3635,16883,,18105,84986
2019-09-16,,,,,,52022,,41245,205436
2019-09-17,,,,,,95258,,27220,122102
2019-09-18,,,,,,58685,,7345,20775
2019-09-19,,,,,,11041,,7760,29306
2019-09-20,,,,,,14104,,7125,23159
2019-09-21,,,,,,11945,,6505,20956
2019-09-22,,,,,,12320,,,65358
2019-09-23,,,,,,31771,,,136359
2019-09-24,,,,,,60240,,,88135
2019-09-25,,,,,,37959,,,18758
2019-09-26,,,,,,8701,,,25599
2019-09-27,,,,,,10602,,,16664
2019-09-28,,,,,,9120,,,16948
2019-09-29,,,,,,8518,,,47098
2019-09-30,,,,,,20122,,,96962
2019-10-01,,,,,,40662,,,58211
2019-10-02,,,,,,27074,,,14750
2019-10-03,,,,,,6554,,,14116
2019-10-04,,,,,,7829,,,11250
2019-10-05,,,,,,9120,,,9817
2019-10-06,,,,,,6014,,,51594
2019-10-07,,,,,,12796,,,109030
2019-10-08,,,,,,24593,,,70809
2019-10-09,,,,,,15900,,,18623
2019-10-10,,,,,,4393,,,23578
2019-10-11,,,,,,5595,,,23272
2019-10-12,,,,,,5155,,,21070
2019-10-13,,,,,,5888,,,44954
2019-10-14,,,,,,7680,,,68437
2019-10-15,,,,,,12224,,,46102
2019-10-16,,,,,,9033,,,26313
2019-10-17,,,,,,5983,,,
2019-10-18,,,,,,,,,11870
2019-10-19,,,,,,2414,,,12930
2019-10-20,,,,,,2572,,,13898
2019-10-21,,,,,,2386,,,21559
2019-10-22,,,,,,6316,,,41621
2019-10-23,,,,,,10807,,,27352
2019-10-24,,,,,,5268,,,6351
2019-10-25,,,,,,1551,,,6790
2019-10-26,,,,,,1650,,,5879
2019-10-27,,,,,,1790,,,7204
2019-10-28,,,,,,1994,,,15097
2019-10-29,,,,,,,,,27967
2019-10-30,,,,,,,,,19370
2019-10-31,,,,,,,,,3976
2019-11-01,,,,,,,,,4541
2019-11-02,,,,,,,,,4501
2019-11-03,,,,,,,,,5069
2019-11-04,,,,,,,,,
2019-11-05,,,,,,,,,10215
2019-11-06,,,,,,,,,26627
2019-11-07,,,,,,,,,18760
2019-11-08,,,,,,,,,3342
2019-11-09,,,,,,,,,5009
2019-11-10,,,,,,,,,3653
2019-11-11,,,,,,,,,4297
2019-11-12,,,,,,,,,8803
2019-11-13,,,,,,,,,20645
2019-11-14,,,,,,,,,14776
2019-11-15,,,,,,,,,9969
2019-11-16,,,,,,,,,3223
2019-11-17,,,,,,,,,2715
2019-11-18,,,,,,,,,2188
2019-11-19,,,,,,,,,4747
2019-11-20,,,,,,,,,14502
2019-11-21,,,,,,,,,10747
2019-11-22,,,,,,,,,1481
2019-11-23,,,,,,,,,1691
2019-11-24,,,,,,,,,1641
2019-11-25,,,,,,,,,2200
2019-11-26,,,,,,,,,2983
2019-11-27,,,,,,,,,7865
2019-11-28,,,,,,,,,5383
2019-11-29,,,,,,,,,2109
2019-11-30,,,,,,,,,3964
2019-12-01,,,,,,,,,3925
2019-12-02,,,,,,,,,1875
2019-12-03,,,,,,,,,
2019-12-04,,,,,,,,,5153
2019-12-05,,,,,,,,,5495
2019-12-06,,,,,,,,,2796
2019-12-07,,,,,,,,,536
2019-12-08,,,,,,,,,733
2019-12-09,,,,,,,,,608
2019-12-10,,,,,,,,,591
2019-12-11,,,,,,,,,
2019-12-12,,,,,,,,,
